"","word1","word2"
"943","im","just"
"944","it","go"
"945","let","go"
"946","manag","to"
"947","me","up"
"948","much","of"
"949","no","matter"
"950","on","that"
"951","piec","of"
"952","so","excit"
"953","the","great"
"954","today","is"
"955","you","i"
"956","and","even"
"957","at","am"
"958","did","i"
"959","dont","like"
"960","get","readi"
"961","give","up"
"962","i","knew"
"963","less","than"
"964","may","have"
"965","peopl","are"
"966","pleas","follow"
"967","rt","i"
"968","see","a"
"969","side","of"
"970","social","media"
"971","that","has"
"972","the","case"
"973","the","entir"
"974","the","final"
"975","to","bed"
"976","with","us"
"977","a","way"
"978","all","you"
"979","be","at"
"980","focus","on"
"981","get","in"
"982","happi","to"
"983","his","own"
"984","i","tri"
"985","is","veri"
"986","lol","i"
"987","my","phone"
"988","now","that"
"989","the","work"
"990","to","sleep"
"991","way","i"
"992","we","could"
"993","year","i"
"994","you","love"
"995","a","girl"
"996","a","whole"
"997","about","my"
"998","creat","a"
"999","i","took"
"1000","is","now"
"1001","one","is"
"1002","pictur","of"
"1003","see","how"
"1004","the","futur"
"1005","the","man"
"1006","they","do"
"1007","to","live"
"1008","we","love"
"1009","whi","do"
"1010","will","get"
"1011","a","better"
"1012","a","larg"
"1013","about","that"
"1014","all","over"
"1015","and","some"
"1016","ani","of"
"1017","depend","on"
"1018","figur","out"
"1019","for","more"
"1020","get","your"
"1021","hang","out"
"1022","has","the"
"1023","i","didn’t"
"1024","i","might"
"1025","it","realli"
"1026","just","as"
"1027","long","time"
"1028","my","husband"
"1029","next","to"
"1030","stori","of"
"1031","the","moment"
"1032","they","had"
"1033","thought","i"
"1034","to","pay"
"1035","was","on"
"1036","what","your"
"1037","when","your"
"1038","while","i"
"1039","who","was"
"1040","wonder","if"
"1041","yeah","i"
"1042","you","on"
"1043","a","place"
"1044","a","singl"
"1045","and","their"
"1046","and","will"
"1047","as","long"
"1048","but","a"
"1049","but","there"
"1050","call","the"
"1051","easi","to"
"1052","i","wanna"
"1053","in","to"
"1054","is","also"
"1055","it","be"
"1056","it","make"
"1057","join","us"
"1058","me","too"
"1059","of","be"
"1060","rather","than"
"1061","the","girl"
"1062","the","music"
"1063","the","season"
"1064","the","veri"
"1065","the","weekend"
"1066","time","of"
"1067","to","leav"
"1068","we","would"
"1069","what","up"
"1070","a","wonder"
"1071","all","in"
"1072","for","year"
"1073","go","out"
"1074","is","all"
"1075","it","been"
"1076","me","for"
"1077","much","as"
"1078","my","last"
"1079","my","way"
"1080","not","even"
"1081","seem","like"
"1082","someth","to"
"1083","sure","to"
"1084","that","all"
"1085","the","person"
"1086","the","s"
"1087","the","truth"
"1088","time","with"
"1089","to","show"
"1090","who","have"
"1091","will","to"
"1092","with","no"
"1093","with","some"
"1094","you","got"
"1095","you","might"
"1096","ask","me"
"1097","everi","time"
"1098","follow","the"
"1099","for","them"
"1100","great","to"
"1101","just","to"
"1102","link","to"
"1103","made","a"
"1104","me","on"
"1105","my","sister"
"1106","not","just"
"1107","opportun","to"
"1108","over","to"
"1109","said","the"
"1110","sens","of"
"1111","stop","by"
"1112","that","if"
"1113","that","in"
"1114","the","hell"
"1115","the","state"
"1116","use","of"
"1117","was","to"
"1118","way","of"
"1119","would","you"
"1120","you","the"
"1121","a","person"
"1122","about","you"
"1123","and","as"
"1124","and","do"
"1125","and","just"
"1126","at","work"
"1127","back","on"
"1128","call","it"
"1129","came","to"
"1130","dont","even"
"1131","down","and"
"1132","even","more"
"1133","help","me"
"1134","i","ask"
"1135","i","felt"
"1136","i","must"
"1137","is","good"
"1138","littl","bit"
"1139","love","that"
"1140","love","your"
"1141","might","have"
"1142","my","dad"
"1143","now","and"
"1144","now","it"
"1145","see","that"
"1146","take","it"
"1147","than","i"
"1148","the","good"
"1149","to","check"
"1150","to","let"
"1151","to","their"
"1152","work","out"
"1153","you","had"
"1154","a","real"
"1155","am","a"
"1156","and","had"
"1157","be","back"
"1158","can","make"
"1159","don’t","know"
"1160","find","the"
"1161","glad","you"
"1162","go","for"
"1163","how","it"
"1164","i","couldnt"
"1165","i","hear"
"1166","is","onli"
"1167","it","take"
"1168","love","this"
"1169","next","time"
"1170","of","god"
"1171","on","top"
"1172","the","bottom"
"1173","the","guy"
"1174","the","more"
"1175","the","team"
"1176","to","an"
"1177","to","creat"
"1178","to","feel"
"1179","too","mani"
"1180","we","should"
"1181","week","and"
"1182","will","you"
"1183","with","their"
"1184","you","that"
"1185","a","part"
"1186","�","and"
"1187","and","of"
"1188","and","see"
"1189","ask","for"
"1190","back","and"
"1191","base","on"
"1192","believ","in"
"1193","bunch","of"
"1194","did","it"
"1195","doe","it"
"1196","dont","forget"
"1197","good","thing"
"1198","i","go"
"1199","love","with"
"1200","much","for"
"1201","my","eye"
"1202","on","her"
"1203","out","a"
"1204","peopl","in"
"1205","refer","to"
"1206","so","the"
"1207","so","you"
"1208","tend","to"
"1209","the","main"
"1210","them","in"
"1211","they","dont"
"1212","to","ask"
"1213","took","a"
"1214","up","my"
"1215","want","a"
"1216","will","do"
"1217","you","feel"
"1218","your","a"
"1219","am","so"
"1220","an","amaz"
"1221","at","it"
"1222","be","more"
"1223","becom","a"
"1224","but","what"
"1225","call","me"
"1226","congrat","to"
"1227","have","it"
"1228","how","can"
"1229","i","heard"
"1230","im","sure"
"1231","it","my"
"1232","keep","it"
"1233","must","have"
"1234","next","year"
"1235","no","idea"
"1236","now","the"
"1237","one","more"
"1238","particip","in"
"1239","show","up"
"1240","sit","in"
"1241","so","good"
"1242","some","peopl"
"1243","thank","so"
"1244","the","event"
"1245","the","nation"
"1246","the","perfect"
"1247","the","real"
"1248","the","wall"
"1249","they","would"
"1250","thing","about"
"1251","whi","is"
"1252","will","make"
"1253","with","our"
"1254","a","woman"
"1255","and","ask"
"1256","and","give"
"1257","and","her"
"1258","and","take"
"1259","becaus","he"
"1260","between","the"
"1261","cant","get"
"1262","do","so"
"1263","do","what"
"1264","for","one"
"1265","i","came"
"1266","i","can’t"
"1267","in","for"
"1268","in","new"
"1269","is","about"
"1270","is","for"
"1271","let","the"
"1272","let","us"
"1273","matter","of"
"1274","me","of"
"1275","mean","that"
"1276","more","about"
"1277","more","like"
"1278","move","to"
"1279","of","life"
"1280","on","me"
"1281","other","than"
"1282","point","of"
"1283","put","on"
"1284","return","to"
"1285","same","thing"
"1286","same","time"
"1287","see","if"
"1288","set","up"
"1289","she","has"
"1290","that","im"
"1291","the","compani"
"1292","the","film"
"1293","the","littl"
"1294","the","power"
"1295","the","street"
"1296","think","im"
"1297","thought","it"
"1298","to","add"
"1299","was","an"
"1300","were","a"
"1301","what","was"
"1302","you","ever"
"1303","a","fan"
"1304","all","about"
"1305","and","are"
"1306","and","love"
"1307","at","home"
"1308","but","this"
"1309","do","to"
"1310","good","day"
"1311","here","and"
"1312","here","i"
"1313","how","is"
"1314","i","told"
"1315","i","wonder"
"1316","i’m","not"
"1317","is","alway"
"1318","it","as"
"1319","it","can"
"1320","it","doe"
"1321","it","it"
"1322","it","like"
"1323","it","that"
"1324","it","took"
"1325","it’","not"
"1326","like","an"
"1327","make","my"
"1328","me","back"
"1329","more","of"
"1330","my","hand"
"1331","nice","to"
"1332","of","how"
"1333","on","and"
"1334","or","so"
"1335","plenti","of"
"1336","said","that"
"1337","shout","out"
"1338","someth","that"
"1339","state","of"
"1340","the","begin"
"1341","the","differ"
"1342","the","ground"
"1343","the","school"
"1344","think","you"
"1345","to","join"
"1346","two","week"
"1347","was","at"
"1348","we","get"
"1349","with","him"
"1350","your","favorit"
"1351","and","an"
"1352","and","no"
"1353","and","one"
"1354","ani","other"
"1355","at","me"
"1356","attent","to"
"1357","but","in"
"1358","day","is"
"1359","do","is"
"1360","dont","get"
"1361","follow","us"
"1362","for","exampl"
"1363","from","your"
"1364","get","up"
"1365","give","a"
"1366","had","no"
"1367","he","will"
"1368","home","and"
"1369","hope","that"
"1370","i","find"
"1371","ice","cream"
"1372","if","there"
"1373","if","u"
"1374","it","could"
"1375","it","doesnt"
"1376","it","still"
"1377","it","wasnt"
"1378","keep","the"
"1379","leav","the"
"1380","life","and"
"1381","list","of"
"1382","love","love"
"1383","made","me"
"1384","me","it"
"1385","my","day"
"1386","not","so"
"1387","or","even"
"1388","other","peopl"
"1389","over","and"
"1390","say","i"
"1391","say","the"
"1392","sinc","the"
"1393","the","area"
"1394","the","author"
"1395","the","car"
"1396","the","famili"
"1397","the","greatest"
"1398","the","origin"
"1399","then","the"
"1400","this","point"
"1401","to","call"
"1402","to","us"
"1403","today","and"
"1404","were","not"
"1405","whi","not"
"1406","win","the"
"1407","a","bunch"
"1408","a","pretti"
"1409","all","these"
"1410","an","hour"
"1411","and","on"
"1412","are","some"
"1413","are","we"
"1414","attempt","to"
"1415","be","my"
"1416","begin","to"
"1417","behind","the"
"1418","but","when"
"1419","day","when"
"1420","find","it"
"1421","for","each"
"1422","found","a"
"1423","from","me"
"1424","give","it"
"1425","give","the"
"1426","glad","to"
"1427","good","for"
"1428","he","can"
"1429","here","are"
"1430","it","too"
"1431","learn","to"
"1432","meet","you"
"1433","miss","the"
"1434","not","that"
"1435","on","saturday"
"1436","proud","of"
"1437","realiz","that"
"1438","relat","to"
"1439","she","said"
"1440","so","what"
"1441","the","place"
"1442","the","tabl"
"1443","the","unit"
"1444","the","univers"
"1445","thing","are"
"1446","time","the"
"1447","to","believ"
"1448","to","bring"
"1449","to","pick"
"1450","ton","of"
"1451","version","of"
"1452","was","veri"
"1453","week","i"
"1454","what","did"
"1455","which","was"
"1456","a","special"
"1457","about","what"
"1458","after","all"
"1459","again","and"
"1460","all","this"
"1461","alway","be"
"1462","as","far"
"1463","be","sure"
"1464","becaus","we"
"1465","but","she"
"1466","each","of"
"1467","fan","of"
"1468","few","day"
"1469","get","on"
"1470","go","with"
"1471","her","and"
"1472","how","about"
"1473","i","actual"
"1474","i","live"
"1475","in","on"
"1476","may","not"
"1477","my","blog"
"1478","of","love"
"1479","of","thing"
"1480","on","facebook"
"1481","on","friday"
"1482","our","live"
"1483","peopl","i"
"1484","place","in"
"1485","plan","for"
"1486","play","the"
"1487","quit","a"
"1488","right","to"
"1489","said","it"
"1490","that","can"
"1491","that","not"
"1492","that","your"
"1493","the","face"
"1494","the","floor"
"1495","the","front"
"1496","the","phone"
"1497","the","window"
"1498","to","visit"
"1499","two","of"
"1500","us","in"
"1501","veri","much"
"1502","were","the"
"1503","what","he"
"1504","who","were"
"1505","wish","you"
"1506","a","month"
"1507","a","realli"
"1508","abil","to"
"1509","and","go"
"1510","and","look"
"1511","as","my"
"1512","been","to"
"1513","but","then"
"1514","care","of"
"1515","enjoy","it"
"1516","far","as"
"1517","feel","the"
"1518","follow","you"
"1519","gave","me"
"1520","have","never"
"1521","her","to"
"1522","hit","the"
"1523","i","wont"
"1524","i","work"
"1525","in","life"
"1526","in","some"
"1527","is","more"
"1528","it","get"
"1529","it","may"
"1530","it","work"
"1531","just","the"
"1532","know","your"
"1533","look","to"
"1534","love","my"
"1535","me","but"
"1536","move","on"
"1537","of","new"
"1538","of","other"
"1539","one","i"
"1540","one","thing"
"1541","over","a"
"1542","play","a"
"1543","said","i"
"1544","that","just"
"1545","the","law"
"1546","the","process"
"1547","the","room"
"1548","the","weather"
"1549","they","need"
"1550","thing","in"
"1551","to","move"
"1552","to","one"
"1553","to","run"
"1554","to","some"
"1555","was","it"
"1556","when","im"
"1557","where","we"
"1558","who","want"
"1559","will","never"
"1560","with","them"
"1561","worri","about"
"1562","you","must"
"1563","a","pictur"
"1564","a","stori"
"1565","are","just"
"1566","are","now"
"1567","care","about"
"1568","feel","so"
"1569","get","me"
"1570","group","of"
"1571","happen","in"
"1572","have","fun"
"1573","have","my"
"1574","have","one"
"1575","he","did"
"1576","hous","and"
"1577","idea","of"
"1578","it","at"
"1579","just","saw"
"1580","lead","to"
"1581","let","it"
"1582","level","of"
"1583","made","the"
"1584","me","if"
"1585","member","of"
"1586","much","i"
"1587","my","famili"
"1588","of","some"
"1589","or","two"
"1590","put","the"
"1591","realli","want"
"1592","someon","els"
"1593","that","mean"
"1594","the","biggest"
"1595","the","fuck"
"1596","the","internet"
"1597","the","offic"
"1598","the","problem"
"1599","the","reason"
"1600","the","road"
"1601","the","song"
"1602","there","will"
"1603","this","book"
"1604","though","i"
"1605","though","it"
"1606","to","and"
"1607","us","and"
"1608","we","dont"
